LOR,LOR Name,31.12.2017,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015,31.12.2016
05020625,Borkumer Straße,16,9,3,7,7,6,19,26,13,12,18
05020626,Adamstraße,39,12,12,9,15,12,12,24,28,21,33
05020627,Tiefwerder,4,3,6,7,3,3,12,13,12,16,13
05020628,Graetschelsteig,-,-,-,-,-,-,-,-,-,4,3
05020629,Börnicker Straße,9,15,10,9,4,12,12,17,12,12,8
05030730,Zitadellenweg,3,3,-,3,-,3,-,3,-,3,6
05030731,Gartenfelder Straße,22,3,7,10,9,9,12,15,16,22,20
05030832,Rohrdamm,36,6,6,-,-,6,9,13,12,12,15
05030833,Motardstraße,-,-,-,-,-,-,-,-,-,-,-
05040934,Alt-Gatow,3,-,-,-,-,-,-,-,7,6,3
05040935,Groß-Glienicker Weg,-,-,-,-,-,-,-,-,-,-,-
05040936,Jägerallee,15,9,12,12,12,9,9,3,6,10,13
05040937,Kladower Damm,-,-,3,-,-,-,-,-,3,-,-
05040938,Kafkastraße,7,3,-,-,3,-,3,-,-,3,6
06010101,Fichtenberg,21,10,9,3,9,15,15,13,26,22,21
06010102,Schloßstraße,25,21,27,22,22,19,42,36,39,30,35
06010103,Markelstraße,26,14,10,9,12,12,12,16,30,31,29
06010204,Munsterdamm,10,3,6,9,9,6,17,13,6,12,6
06010205,Südende,39,18,6,21,15,15,12,39,39,24,18
06010206,Stadtpark,9,6,3,6,10,18,18,3,16,12,6
06010207,Mittelstraße,6,3,12,9,9,9,15,12,9,3,9
06010208,Bergstraße,12,9,18,3,6,6,6,3,10,18,29
06010209,Feuerbachstraße,22,12,6,9,9,16,9,18,15,23,23
06010210,Bismarckstraße,3,-,4,3,-,-,3,9,6,6,9
06020301,Alt-Lankwitz,7,-,-,-,-,-,-,6,6,9,3
06020302,Komponistenviertel Lankwitz,6,3,7,-,3,-,3,6,3,3,9
06020303,Lankwitz Kirche,6,10,6,9,10,3,9,15,16,12,16
06020304,Kaiser-Wilhelm-Straße,6,6,-,3,-,12,7,-,3,6,7
06020305,Gemeindepark Lankwitz,37,22,38,45,43,47,47,59,47,47,12
06020306,Lankwitz Süd,3,-,-,-,-,-,-,-,-,-,-
06020407,Thermometersiedlung,34,13,6,12,15,9,7,25,22,42,35
06020408,Lichterfelde Süd,6,-,-,3,-,3,3,6,3,9,6
06020409,Königsberger Straße,21,-,6,3,6,9,15,12,15,12,19
06020410,Oberhofer Platz,12,3,-,9,6,7,3,3,9,9,9
06020411,Schütte-Lanz-Straße,25,6,15,6,9,6,12,3,9,15,15
06030501,Berlepschstraße,3,-,-,-,3,-,3,3,6,6,6
06030502,Zehlendorf Süd,9,12,-,12,16,7,12,3,9,7,4
06030503,Zehlendorf Mitte,28,6,6,9,7,12,19,22,21,19,24
06030504,Teltower Damm,12,3,15,12,6,9,12,17,13,18,17
06030605,Botanischer Garten,18,12,6,6,16,9,18,22,16,15,23
06030606,Hindenburgdamm,13,15,21,25,9,12,16,20,23,15,12
06030607,Goerzwerke,29,34,25,53,63,69,47,54,62,64,26
06030608,Schweizer Viertel,30,12,12,16,7,15,18,19,15,21,27
06030609,Augustaplatz,25,30,25,21,22,37,37,30,30,27,21
06030610,Lichterfelde West,23,9,21,15,21,15,17,36,30,22,27
06040701,Wannsee,21,16,16,13,15,15,13,19,15,16,18
06040702,Düppel,3,9,12,3,7,3,15,9,16,9,16
06040703,Nikolassee,39,66,82,85,44,50,31,30,32,30,35
06040804,Krumme Lanke,15,19,9,16,15,21,15,18,19,9,11
